names,ids,bds
Sonja Stotz,-10859, 
Marion Bertrand,196179,1984
Ariane Raedler,56256,20-01-1995
Annelise Coberger,415022,1971
Tamara Schaedler,355020,1977
Marie Therese Nadig,-10599,1954
Florence Steurer,-10279,1949
Kari Anne Saude,425064,1966
Cornelia Meusburger,55058,1972
Dorota Tlalka - Mogore,-10221,1963
Nadia Delago,299630,12-11-1997
Lise Marie Morerod,-10550,1956
Nadja Vogel,516109,1990
Brigitte Auer,55194,1966
Fabienne Suter,515766,05-01-1985
Sasa Brezovnik,565428,04-05-1995
Noora Haterma,185196,1984
Laurence St-Germain,107427,30-05-1994
Cindy Oak,-10172, 
Riitta Pitkanen,185081,1977
Monika Kaeslin,515263,1972
Camilla Borsotti,297134,1988
Melanie Turgeon,105546,1976
Elena Fanchini,296472,30-04-1985
Petra Haltmayr,205119,1975
Federica Brignone,297601,14-07-1990
Ingrid Eberle,-10392, 
Marie - Pierre Gatel,195074,1968
Vanina Guerillot,595020,2002
Maja Knez,565378,1992
Paola Toniolli,-10711, 
Marianne Winge,425018,1974
Alice Jones,45053,1976
Karolina Chrapek,435245,1990
Alexandra Munteanu,465045,1980
Stefanie Wopfner,55979,1989
Maggie Crane,-10567, 
Magdalena Fjaellstroem,506664,12-01-1995
Manuela Ruef,-10574, 
Rosi Fortna,-10813, 
Triin Tobi,395015,1995
Christel Pascal,195377,1973
Tatum Skoglund,535224,1978
Tina Weirather,355050,24-05-1989
Ana Bucik,565401,21-07-1993
Stephanie Resch,56282,22-11-1995
Angelica Simari Birkner,35177,28-10-1994
Zazie Huml,6536636,25-09-2001
Anni Kronbichler,55043,1963
Aleksandra Prokopyeva,485749,24-07-1994
Sandra-Elena Narea,465060,29-04-1988
Joana Haehlen,516185,23-01-1992
Andreja Rataj,565295,1986
Sylviane Berthod,515409,1977
Ann Black,-10043, 
Dominique Gisin,515747,04-06-1985
Christiane Bauer,205911,1983
Hilla Hannola,185437,06-01-1998
Linda Rocchetti,-10547, 
Bernadette Zurbriggen,-10082,1956
Marianne Mair,205202,1989
Paula Moltzan,539909,07-04-1994
Petra Knor,55544,1980
Tanja Steinebrunner,515117,1968
Lucie Laroche,105073,1968
Josee Lacasse,105071,1965
Linn Remmem,425118,1970
Veronika Velez Zuzulova,705287,15-07-1984
Odile Chalvin,-10695, 
Helene Dumermuth,515643,1983
Ana Geli Espana,495205,1978
Marjolein Decroix,65075,17-03-1992
Lotte Smiseth Sejersted,425880,1991
Sigrid Totschnig,-10852, 
Kristina Koznick,535825,1975
Jacqueline Wiles,539536,13-07-1992
Heidi Riedler,-10360, 
Spela Pretnar,565097,1973
Matea Ferk,385034,1987
Nina Ortlieb,56328,02-04-1996
Esther Paslier,197861,10-09-1997
Jeanette Lunde,425213,1972
Hanni Wenzel,-10348,1956
Annie Famose,-10058,1944
Lindsey Roberts,105100,1972
Claudia Riegler,415069,1976
Tamara McKinney,-10879,1962
Michelle Herwerden Van,405092,1990
Emelie Henning,506965,04-04-1999
Rosi Mittermaier,-10815,1950
Angela Drexl,205026,1968
Kazuko Ikeda,305015,1974
Golnur Postnikova,485025,1964
Sherry Blann,-10847, 
Delphine Rayne,195054,1978
Keely Cashman,6536213,04-04-1999
Elese Sommerova,155962,15-09-2001
Nella Korpio,185447,12-07-1999
Katharina Truppe,56315,15-01-1996
Zana Novakovic,715123,1985
Eli Plut,565417,1994
Kristina Saalova,705377,20-05-1991
Sabrina Beer,205804,1981
Inge Krenn,-10390, 
Barbara Sadleder,55066,1967
Deborah Compagnoni,295267,1970
Lucie Zikova,155409,1984
Trude Gimle,425031,1974
Kia-Emilia Hakala,185435,07-05-1998
Lisa Wilcox,-10549, 
Martina Ertl,205378,1973
Anna Ottosson,505187,1976
Charlene Gardet,196873,1989
Lea Dabic,565207,1981
Leanne Smith,538305,1987
Ingrid Rumpfhuber,55588,1981
Malgorzata Tlalka - Mogore,-10569,1963
Renate Lazak,205098,1963
Nicole Schmidhofer,55970,15-03-1989
Marianna Salchinger,55051,1974
Judy Leinweber,-10470, 
Sibylle Murer,515416,1977
Karin Blaser,55383,1979
Brigitte Nansoz,-10113, 
Tasha Nelson,535118,1974
Eleonore Richon,195321,1972
Giulia Lorini,299035,19-01-1995
Lisa Blomqvist,506555,1994
Ekaterina Tkachenko,485802,07-03-1995
Maia Barmettler,515298,1981
Florence Masnada,195113,1968
Veronika Thanner,55315,1977
Jessica Honkonen,185267,1989
Martine Liouche,-10621, 
Isabelle Mir,-10400,1949
Pamela Behr,-10709,1956
Tiffany Gauthier,197383,02-12-1993
Stacey J Cook,537582,1984
Kaylin L Richardson,537626,1984
Marilyn Sterchi,515489,1979
Stephanie Jenal,516517,09-03-1998
Chiara Gmuer,516265,1993
Tea Palic,385052,1991
Andrea Bedard,-10030, 
Karin Unterseer,-10489, 
Vanessa Schaedler,355052,1990
Christine Goitschel,-10956,1944
Martina Osterried,205409,1973
Verena Stuffer,296431,1984
Megan McJames,538284,1987
Kristine Heggelund,425299,1976
Candace Crawford,107387,11-03-1994
Kumiko Kashiwagi,305092,1978
Carrie Sheinberg,535358,1972
Yina Moe Lange,175043,1993
Mateja Robnik,565315,1987
Michaela Marzola,-10641,1966
Martina Peterlini,299699,24-10-1997
Andrea Komsic,385092,04-05-1996
Aline Bonjour,515733,1985
Manuela Heubi,515057,1971
Brenda Buglione,-10108, 
Edith Peter,-10231, 
Ulrike Maier,55048, 
Allison Forsyth,105741,1978
Manuela Lieb,55165,1971
Alessia Pittin,296267,1983
Monika Dumermuth,515429,1977
Frida Hansdotter,505679,13-12-1985
Celine Daetwyler,515252,1973
Emily Brydon,105997,1980
Andreja Slokar,565463,15-10-1997
Michaela Noesig,55914,1988
Emelie Wikstroem,506341,02-10-1992
Caroline Pellat-Finet,195291,1978
Nina-Katarina Mihovilovic,565325,1988
Julia Littman,537672,1984
Alexandra Kolier,205823,1981
Paulina Grassl,506557,1994
Kerrin Lee- Gartner,105078,1966
Carole Montillet,195374,1973
Fulvia Stevenin,-10294, 
Fujiko Sekino,195273,1975
Marcella Biondi,295326,1970
Makiko Arai,307120,12-06-1993
Romina Dei Cas,295182,1975
Monika Kogler,55137,1970
Souazic Le Guillou,196019,1982
Elisabetta Biavaschi,295559,1973
Storm Klomhaus,6535934,17-10-1998
Elisabeth Reisinger,56311,02-08-1996
Nadja Kamer,515806,23-07-1986
Christine Loike,-10165, 
Enrica Cipriani,297153,1988
Christina Geiger Ackermann,206279,06-02-1990
Sigrid Wolf,55109,1964
Mialitiana Clerc,945000,16-11-2001
Katarzyna Karasinska,435142,1982
Silvia Berger,55539,1980
Krystyna Bortko,-10520, 
Karen Putzer,295342,1978
Jutta Knobloch,-10478, 
Natasa Blazic,-10684, 
Germaine Michelet,-10312, 
Johanna Schnarf,296427,16-09-1984
Marianne Ranner,-10590, 
Ana Galindo Santolaria,495107,1973
Veronique Robin,-10921, 
Krista Schmidinger,535304,1970
Stephanie Irwin,106942,1990
Ula Hafner,565398,1993
Evelyne Dirren,-10263, 
Nika Murovec,565496,11-02-2002
Annemarie Steiner,-10053, 
Karin Buder,55013,1964
Annemarie Proell,-10051,1953
Axelle Chevrier,198163,11-06-2001
Martine Ducroz,-10620, 
Janette Hargin,505260,1977
Florine De Leymarie,195912,1981
Nastasia Noens,196806,12-09-1988
Mami Sekizuka,306095,1985
Megan Gerety,535505,1971
Jennifer Piot,197295,24-03-1992
Anne-Sophie Koehn,516052,1990
Nicole Agnelli,298124,1992
Isabella Wright,6535791,10-02-1997
Stefanie Luckmaier,205584,1977
Monique Pelletier,535162,1969
Madison Irwin,107044,1991
Line Viken,425458,1981
Carolina Waidhofer,55247,1976
Charlotta Saefvenberg,506583,07-10-1994
Elena Stoffel,516426,27-05-1996
Roni Remme,107583,14-02-1996
Gaelle Reiller,197592,1995
Maria Kvopkova,705029,1975
Rosa Pohjolainen,185493,2003
Nina Loeseth,425771,27-02-1989
Tereza Kmochova,155586,26-09-1990
Sandra Haelldahl,505283,1977
Elisa Moerzinger,56373,06-05-1997
Carole Merle,195118,1964
Natalia Buga,485039,1971
Elisabeth Brandner,205563,1977
Barbara Wirth,205239,1989
Carole Bissig,516437,15-07-1996
Anita Gulli,299983,26-06-1998
Kirsten L Clark,536138,1977
Kristiina Rove,185292,1990
Noe Okamoto,306987,22-03-1992
Christine Scheyer,56198,18-07-1994
Tiiu Nurmberg,395010,1982
Caroline Lalive,536473,1979
Anouk Barnier,195234,1971
Birgit Wolfram,55110,1968
Giulia Gianesini,296379,1984
Alice Mckennis,538685,18-08-1989
Cathy Nagel,-10140, 
Charlotte Techen Lemgart,175041,1993
Catherine Borghi,515348,1976
Estelle Alphand,197616,23-04-1995
Aude Aguilaniu,65106,1988
Doris De Agostini,-10220,1958
Marielle Studer,-10601, 
Lene Loeseth,425629,1986
Ricarda Haaser,56174,10-09-1993
Heidi Voelker,535221,1969
Renate Oberhofer,295297,1970
Anja Zavadlav,-10042, 
Meike Pfister,206652,06-02-1996
Georgia Simmerling,105920,1989
Alexandra Daum,55807,1986
Petra Bartlova,155008,1974
Veronika Sarec,565035,1968
Karen Percy,-10484,1966
Gail Blackburn,-10297, 
Kerstin Nicolussi,56200,1994
Celina Hangl,516005,1989
Jenny Owens,45071,1978
Nevena Ignjatovic,315187,28-12-1990
Amelia Smart,107747,01-08-1998
Marta Berezik,435117,1980
Julie M. J. Parisien,535468,1971
Veronica Smed,505908,1988
Asuka Kawaura,307126,24-11-1993
Irene Curtoni,296509,11-08-1985
Anna Boden,505010,1968
Romane Miradoli,197497,10-03-1994
Andrea Felber,55572,1981
Annemarie Gerg,205115,1975
Carina Stuffer,206803,05-05-1999
Lindsey Vonn,537544,18-10-1984
Traudl Treichl,-10905, 
Shona Rubens,106666,1986
Urska Hrovat,565010,1974
Lisa Hoernblad,506701,06-03-1996
Christine Sponring,55691,1983
Laurenne Ross,538573,17-08-1988
Sara Globocnik,565354,1990
Kajsa Kling,505886,25-12-1988
Gabriela Capova,155727,08-10-1993
Giustina Demetz,-10328,1941
Pia Borgen,425481,1981
Mary Seaton,-10622, 
Margot Bailet,196968,25-07-1990
Lindy Etzensperger,516529,09-11-1998
Cornelia Huetter,56128,29-10-1992
Jenny Vuori,185477,19-08-2001
Rosi Speiser,-10816, 
Monja Urbic,565344,1989
Anouk Bessy,197615,1995
Salome Bancora,35156,1993
Alix Wilkinson,6536396,02-08-2000
Anja Lampert,355029,1979
Janina Makinen,185403,1996
Sandra Burn,-10830,1968
Lena Duerr,206355,04-08-1991
Alessandra Merlin,295208,1975
Anna Goodman,106633,1986
Edith Sprecher,-10232, 
Diana Fehr,355001,1974
Iulija Pleshkova,485941,17-05-1997
Dietlinde Wurmer,-10213, 
Brigitte Schroll,-10112, 
Heidi Dahlgren,535055,1968
Andrine Flemmen,425001,1974
Caroline Beer,-10131, 
Wendy Holdener,516280,12-05-1993
Sarah Jarvis,415128,1986
Bernadette Lorenz,56427,04-01-1998
Leonie Floetgen,206837,16-01-2000
Mojca Dezman,315007,1967
Sarah Freeman,107192,1992
Raphaelle Strub,195944,1981
Daniela Merighetti,296008,1981
Giovanna Tiezza,-10322, 
Barbara Raggl,55087,1975
Aurelie Marchand,197329,1992
Christina Riegel,55173,1971
Marianne Zechmeister,-10592, 
Sterling Grant,538256,1987
Veronika Kappaurer,55163,1971
Ania Monica Cail,465098,24-10-1995
Corina Gruenenfelder,515092,1975
Ann Melander,-10044, 
Brigitte Seiwald,-10115, 
Libby Ludlow,536884,1981
Lucia Recchia,295533,1980
Elise Pellegrin,959300,07-05-1991
Barbara Kleon,295449,1980
Hailey Duke,537792,1985
Katharina Gallhuber,56367,16-06-1997
Emma Carrick Anderson,225018,1975
Karina Birkelund,425443,1980
Katrin Stotz,205183,1966
Ulla Carlsson,505011,1965
Alice Robinson,415232,01-12-2001
Daniela Mueller,55730,1984
Nea Luukko,185411,19-05-1996
Hedda Berntsen,425359,24-04-1976
Laurie Graham,105048,1960
Anja Haas,55159,1971
Veronika Staber,206174,1987
Victoria Stevens,106988,1990
Daniela Ceccarelli,295136,1975
Anita Wachter,55097,1967
Vanja Brodnik,565333,1989
Isabelle Stiepel,206323,1990
Mireia Clemente,495605,1987
Lara Della Mea,6295075,10-01-1999
Michelle Ruthven Mckendry,-10648, 
Vreni Schneider,515106,1964
Christa Zechmeister,-10150,1957
Martina Ostler,206761,20-10-1998
Jasmin Rothmund,516156,1991
Gro Kvinlog,425278,1976
Wilma Gatta,-10946, 
Aleksandra Klus,435189,1986
Laurie Mougel,196803,1988
Ylva Nowen,505084,1970
Morane Sandraz,197177,1991
Corinne Rey Bellet,515098, 
Linda Ydeskog,505155,1973
Tamara Wolf,515774,1985
Sonja Nef,515268,1972
Marte Monsen,426324,27-01-2000
Martina Schild,515560,1981
Lila Lapanja,539927,03-12-1994
Kerstin Reisenhofer,55397,1979
Miriam Vogt,205193,1967
Julie Langevin,106029,1980
Beatrice Filliol,195067,1969
Miriam Gmuer,515797,1986
Clara Direz,197651,05-04-1995
Katharina Gutensohn,205445,1966
Sara Rask,507018,16-03-2000
Helene Barbier,195009,1966
Nino Tsiklauri,685018,01-07-1993
Laurel Carter,537987,1986
Tamara Vidoni,196595,1986
Christine Putz,-10166, 
Regina Mader Sterz,55766,1985
Chelsea Marshall,538038,1986
Marine Gauthier,197006,1990
Jasmina Suter,516394,16-04-1995
Gertrud Gabl,-10315,1948
Christa Kinshofer,-10148,1961
Sherry Lawrence,106465,1984
Olga Loginova,-10788, 
Kate Rattray,415010,1962
Nicola Schmid,206318,1990
Eleonora Teglia,297070,1987
Karin Lambrigger,515078,1972
Loni Klettl,-10551, 
Inge Jochum,-10389, 
Katja Jossi,515164,1978
Tatiana Lebedeva,485068,1973
Simone Streng,55885,1987
Ida Dannewitz,506933,27-03-1999
Sabina Majerczyk,435313,04-04-1993
Kristina Riis-Johannessen,425879,05-03-1991
Leslie Smith,-10545, 
Chantal Bournissen,515021,1967
Roberta Pergher,295393,1971
Patricia Chauvet,195041,1967
Corinne Schmidhauser,515105,1964
Federica Sosio,298767,04-07-1994
Svetlana Gladishiva,485064,1971
Madeleine Chirat,197924,31-10-1998
Irmgard Lukasser,-10399, 
Michela Figini,515045,1966
Ivana Valesova,-10404, 
Nina Penzesova,705365,1990
Johanna Boeuf,197808,1997
Misato Kaneko,306493,1988
Glorianda Cipolla,-10329, 
Carmen Geyr,298270,1992
Lara Gut,516138,27-04-1991
Julia Scheib,56416,12-05-1998
Bibiana Perez,295303,1970
Kristi Terzian,535206,1967
Elisabeth Goergl,55576,1981
Elisabeth Kirchler,55039,1963
Raluca Georgiana Ciocanel,465092,21-04-1996
Jana Zemanova,-10422, 
Jessica Fjaellryd,505330,1979
Edith Thys,535209,1966
Martina Dubovska,155728,27-02-1992
Kathrin Zettel,55838,1986
Merle Soppela,185317,1991
Urska Rabic,565278,1985
Irina Lapteva,485270,1979
Adele Allender,535004,1965
Maria Kurz Schlechter,-10591, 
Clotilde Fasolis,-10179, 
Karoline Pichler,298694,30-10-1994
Zoe Haas,515058,1962
Cheryl Bechdolt,-10144, 
Ruth Adolf,-10827, 
Nicol Gastaldi,35131,16-02-1990
Elena Bresciani,295641,1976
Julia Ford,538855,1990
Christine Zangerl,-10168, 
Tonje Norheim,425329,1977
Elena Matous,-10237, 
Catharina Glasser Bjerner,-10136, 
Liene Fimbauere,555016,1989
Mateja Svet,315043,1968
Heidi Zurbriggen,515142,1967
Marion Pellissier,196812,1988
Petra Bernet,515014,1966
Sasa Trsinski,385093,1996
Camilla Lundbaeck,505032,1965
Katja Koren,565029,1975
Martina Geisler,55812,1986
Christina Risler,106319,1983
Marianne Abderhalden,515782,01-04-1986
Ida Ladstaetter,55044,1965
Iva Misak,385069,1993
Andreja Leskovsek,-10041,1965
Evi Untermoser,-10267, 
Camilla Nilsson,505039,1967
Erika Gfrerer,-10251, 
Julia Mancuso,537545,1984
Maria Holaus,55669,1983
Dianne Lehodey,-10210, 
Patricia Emonet,-10716,1956
Stephanie Hoolahan,105052,1974
Ali Nullmeyer,107798,21-08-1998
Karin Koellerer,55136,1970
Susanne Ekman,505271,1978
Simone Behringer,205485,1976
Marie Massios,197215,1992
Andrea Casasnovas,495604,1987
Greta Small,45331,16-10-1995
Kelly Vanderbeek,106402,1983
Mandy Dirkzwager,405091,1990
Catherine Quittet,195143,1964
Penny McCoy,-10730, 
Lelde Gasuna,555018,17-09-1990
Andrea Haaser,-10031, 
Erika Schinegger,-10253,1948
Maren Skjoeld,425981,29-09-1993
Monika Henkel,-10670, 
Lisa Marie Walz,206249,1988
Martina Lechner,55339,1978
Ana Jelusic,385032,1986
Monika Berwein,-10669, 
Isabelle Huber,205820,1981
Denise Feierabend,515997,15-04-1989
Rina Mueller,516090,1990
Breezy Johnson,6535455,19-01-1996
Ann Katrin Magg,206548,1994
Lin Ivarsson,506718,08-01-1996
Adriana Jelinkova,405138,10-04-1995
Susanne Weinbuchner,206408,1991
Roxanne Toly,-10819, 
Claudia Morandini,296073,1982
Eva-Maria Brem,55898,13-09-1988
Stefanie Stemmer,205843,1981
Wanda Bieler,-10932, 
Wendy Fisher,535433,1971
Laura Gauche,197641,04-03-1995
Katerina Paulathova,155699,23-07-1993
Hilde Gerg,205117,1975
Kristina Duvillard,195193,1975
Nadia Styger,515170,1978
Caterina Dietschi,515027,1971
Monika Bergmann,205636,1978
Emmanuelle Colomban,195905,1981
Beatrice Gafner,515050,1964
Sandrine Aubert,195972,1982
Megan Ryley,106668,1986
Simona Hoesl,206444,1992
Michaela Kirchgasser,55759,18-03-1985
Anastasia Kedrina,485665,1992
Martina Accola,515145,1969
Kate Pace,105101,1969
Sophie Lefranc Duvillard,195293, 
Ruth Kuendig,515365,1976
Regine Moesenlechner,205116,1961
Ainhoa Ibarra Astelarra,495019,1968
Brigitte Glur,-10111, 
Lana Grandovec,565309,1987
Gillian Frost,535078,1968
Margret Altacher,55806,1986
Francoise Macchi,-10285,1951
Larissa Hofer,296763,1986
Hannah Saethereng,426273,20-04-1999
Kristine Haugen,425921,24-08-1992
Klara Krizova,155563,1989
Michaela Wenig,206460,14-06-1992
Genevieve Simard,106056,1980
Sara Maude Boucher,105859,1979
Noelle Barahona,115115,1990
Kathryn Hitzig,285012,1984
Beatrice Scalvedi,516359,1995
Marlies Schild,55590,1981
Christl Haas,-10169,1943
Paola Hofer,-10710, 
Elisabeth Chaud,-10240,1960
Anastasiia Silanteva,485973,27-08-1998
Barbara Milani,295193,1972
Corinne Suter,516319,28-09-1994
Malgorzata Tlalka,-10569,1963
Pavla Klicnarova,155503,02-01-1988
Henna Raita,185058,1975
Catherine Gonseth,-10138, 
Hanna Westman,506421,1993
Aline Danioth,516504,12-03-1998
Elisabeth Kraml,-10242, 
Noemie Larrouy,197665,22-03-1995
Francesca Baruzzi Farriol,35222,22-07-1998
Nancy Greene,-10680,1943
Carolina Ruiz Castillo,495318,1981
Doris Goetzenbrucker,55070,1975
Pia Kaeyhkoe,185118,1979
Fernande Bochatay,-10276,1946
Metka Jerman,-10635, 
Ramona Siebenhofer,56087,29-07-1991
Maria Jose Rienda Contreras,115282,2003
Kate Ryley,105649,1989
Jasmine Fiorano,299042,1995
Alison Powers,536479,1979
Christiane Mitterwallner,55037,1974
Martina Fortkord,505159,1973
Nicole Gius,295435,1980
Marta Benzoni,297591,1990
Roosa Hirvonen,185354,1993
Pam Fletcher,-10708,1963
Janica Kostelic,385022,1982
Ninon Esposito,197724,26-11-1996
Jessica Hilzinger,355061,26-05-1997
Marina Kiehl,205078,1965
Rosi Renoth,205091,1967
Tessa Worley,196928,04-10-1989
Chiara Costazza,296354,06-05-1984
Christina Staudinger,55882,1987
Andrea Fischbacher,55750,1985
Elisabeth Willibald,206701,1996
Ariane Ehrat,-10065, 
Christina Lustenberger,106468,1984
Roberta Melesi,299383,18-07-1996
Marianne Kjoerstad,425111,1970
Cara Brown,225572,17-01-1994
Ksenia Alopina,485637,30-05-1992
Fraenzi Aufdenblatten,515573,1981
Veronika Bubakova,155441,1986
Tiziana De Martin,295035,1974
Elvedina Muzaferija,715171,20-08-1999
Cecilia Lucco,295111,1968
Paola Marciandi,-10713, 
Maria Maricich,-10582, 
Laurence Lazier,195927,1981
Christiane Abenthung,55191,1973
Svetlana Novikova,485011,1974
Lenka Kebrlova,155012,1966
Laura Pirovano,299624,20-11-1997
Mina Fuerst Holtmann,426100,17-07-1995
Lana Zbasnik,385101,13-06-1999
Katrin Hirtl-Stanggassinger,206759,07-05-1998
Christine Laprell,-10164, 
Kristina Repcinova,705293,1985
Emiko Kiyosawa,305944,1983
Jole Galli,299029,26-07-1995
Sophia Ralli,235110,04-03-1988
Abi Jewett,6536417,10-01-2000
Sibylle Brauner,205043,1975
Sara Hector,506399,04-09-1992
Elli Terwiel,106183,1989
Martina Willibald,206805,12-06-1999
Marilyn Cochran,-10602,1950
Nina O Brien,6535773,29-11-1997
Christina Ammerer,206263,1987
Marie-Pier Prefontaine,106825,1988
Florence Monnard,-10278, 
Zuzanna Czapska,435401,08-04-1998
Gail Kelly,105884,1979
Miriam Gschnitzer,296151,1982
Brigitte Gadient,515049,1963
Claudia Strobl,55084,1965
Marion Rolland,195983,1982
Ingrid Salvenmoser,55068,1967
Olga Charvatova,-10696,1962
Chloe Bernard-granger,196615,1987
Ester Ledecka,155763,23-03-1995
Michela Azzola,297851,20-11-1991
Nathalie Bouvier,195028,1969
Julia Toiviainen,185431,07-01-1998
Karine Allard,195339,1973
Maren Wiesler,206487,1993
Linda Alpiger,515411,1977
Ella Alpiger,515478,1979
Jacqueline Rouvier,-10414,1949
Marianne Aam,425002,1966
Marie Lucie Waldmeier,-10598, 
Jessica Lindell-Vikarby,505632,1984
Carmina Pallas,25194,03-06-1996
Ida Stimac,385106,13-05-2000
Sandra Holm,185337,1992
Martine Couttet,-10619, 
Lara Magoni,295117,1969
Bernadette Schild,56032,02-01-1990
Carmen Thalmann,55977,1989
Alexandra Coletti,375018,08-08-1983
Lauren Van Ness,537438,1983
Alexandra Grauvogl,205817,1981
Danielle Debernard,-10197,1954
Anne Marie Lefrancois,105662,1977
Michaela Dorfmeister,55198,1973
Masa Redensek,565314,1987
Sieglinde Winkler,-10849, 
Lorena Frigo,-10552, 
Dominique Mathieux,-10217, 
Tifany Roux,197860,29-09-1997
Marika Ollikka,185151,1981
Mona Loeseth,425887,1991
Kira Weidle,206668,24-02-1996
Anneroesli Zryd,-10054,1949
Martina Perruchon,299313,12-04-1996
Mathilda Lassenius,185469,04-02-2000
Andrea Zemanova,155697,1993
Elena Tagliabue,295800,1977
Mirena Kueng,516145,1988
Caitlin Ciccone,537848,1985
Marlene Schmotz,206532,06-03-1994
Anja Kalan,565113,1976
Manuela Moelgg,296259,1983
Kim Vanreusel,65117,04-01-1998
Isa Tripard,196109,1983
Judy Crawford,-10469, 
Coralie Frasse- Sombet,197124,08-04-1991
Anastasia Gornostaeva,486028,31-12-1999
Marta Bassino,299276,27-02-1996
Mariella Voglreiter,55978,1989
Felicity Field,-10273, 
Kristina Hultdin,505461,1981
Madlen Summermatter,515075,1974
Lee Hall,-10538, 
Maria Roberta Schranz,-10583, 
Rita Schnider,-10785, 
Emma Happonen,185282,1990
Lindy Cochran,-10548, 
Paoletta Magoni,-10712,1964
Kathrin Nikolussi,45099,1978
Jamie Kurlander,-10417, 
Karen Lancaster,-10483, 
Yvonne Schnock,385033,1983
Mirjam Puchner,56125,18-05-1992
Leyre Morlans,495615,1987
Stephanie Brunner,56217,20-02-1994
Sabine Ginther,55129,1970
Tina Robnik,565373,30-07-1991
Mio Arai,307704,18-03-1997
Karine Meilleur,195868,1980
Mojca Suhadolc,565037,1975
Ingeborg H. Marken,425077,1975
Ellen Hild,205872,1982
Anastasia Romanova,485731,11-10-1993
Viktoria Rebensburg,205218,04-10-1989
Patricia Mangan,6535765,07-03-1997
Annemarie Bischofberger,-10050, 
Maria Kirkova,95050,1986
Anne Laure Givelet,195920,1981
Evi Mittermaier,-10265,1952
Lotta Toivonen,185334,1992
Wiltrud Drexel,-10947,1950
Marie Cecile Gros - Gaudenier,-10596,1960
