names,ids,bds
Werner Rhyner,-10940, 
Gaetan Llorach,190278,1974
Romed Baumann,51215,14-01-1986
Rasmus Laine,180446,1983
Christian Neureuther,-10154,1949
Roland Assinger,50288,1973
Marc Gehrig,511527,03-12-1988
Bill Hudson,530171,1966
Patrick Staub,510231,1967
Jeffrey Frisch,103512,1984
Petr Zahrobsky,150421,30-11-1980
Renzo Zandegiacomo,-10777, 
Marcus Sandell,180534,23-09-1987
Guglielmo Bosca,6290845,05-06-1993
Klemen Bergant,560004,1966
Valentin Giraud Moine,194542,23-01-1992
Dave Irwin,-10200,1954
Mats Ericson,500027,1964
Stephan Goergl,50600,1978
Andreas Erschbamer,292971,1984
Erik Seletto,290489,1975
Kai Alaerts,60160,06-09-1989
Jakob Tischhauser,-10416, 
Geoff Bruce,-10299, 
Didier Cuche,510030,16-08-1974
Erik Fisher,534939,1985
William Vukelic,380374,29-09-1998
Markus Vogel,511174,1984
Klaus Kroell,50753,24-04-1980
Fausto Radici,-10271,1953
Jesper Pohjolainen,180889,14-09-2001
Bjoernar Neteland,422073,20-05-1991
Justus Kuukka,180722,1994
Bennett Norbury,40496,1992
Ivan Marzola,-10408, 
Martin Vrablik,150495,1982
Dimitri Cuche,511217,1985
Patrick Staudacher,290998,1980
Peter Lubellan,700686,1982
Raphael Burtin,191227,1977
Daniel Albrecht,510993,1983
Miha Hrobat,561310,03-02-1995
Turo Torvinen,180864,13-10-2000
Ondrej Berndt,150743,29-09-1988
Jakob Spik,561296,12-07-1994
Roberto Grigis,290274,1962
Steve Podborski,-10869,1957
Martin Stocker,50685,1979
Johan Wallner,500106,1965
Lars Boerje Eriksson,500029,1966
Jernej Rebersak,560298,1977
Andrew Noble,220575,1984
Dane Spencer,532188,1977
Alexandre Anselmet,191640,1980
Max Rauffer,200705,1972
Paul Stutz,102727,1983
Per Saxvall,501401,1989
Norbert Farkas,240132,1992
Janne Leskinen,180064,1971
Kurt Sulzenbacher,291641,1976
Adam Peraudo,294348,1987
Peter Frei,-10738, 
Sasha Zaitsoff,103646,1990
Gian Luca Barandun,512031,1994
Gianfranco Martin,290716,1970
Manuel Pleisch,511718,1990
Jean Luc Cretier,190096,1966
Jean Marc Muffat,-10435, 
Yuri Danilochkin,660021,22-02-1991
Michal Klusak,430472,20-07-1990
Mark Engel,934523,1991
Tomas Klinsky,151237,04-04-1998
Dmitriy Koshkin,670058,1986
Daniel Fontaine,-10193, 
Fabian Wilkens Solheim,422469,10-04-1996
Tiger Shaw,-10887,1961
Wolfram Ortner,-10950, 
Germain Barrette,-10311, 
Mathias Berthold,50012,1965
Steven Theolier,194207,1990
Didrik Marksten,420488,1971
Victor Gomez,20005,1974
Trevor Philp,103865,01-05-1992
John Moulder-Brown,220054,1978
Christoph Dreier,50824,1981
Chris Kent,-10146, 
Bernard Vajdic,560425,1980
Walter Girardi,291399,1976
Martin Knoeri,510135,1966
David Donaldson,103078,1986
Joaquim Salarich,491879,02-01-1994
Michael Zach,51258,1986
Cyril Vieux,192139,1983
Yumenosuke Kakizaki,304537,1995
Alberto Tomba,290539,1966
Sandy Vietze,6530534,16-07-1993
Heini Hemmi,-10363,1949
Tim Jitloff,534959,1985
Erik Schlopy,530703,1972
Marko Djordjevic,310267,1978
Greg Hardy,534152,1983
Don Rowles,-10218, 
Cary Mullen,100354,1969
Jean Francoise Rey,190299,1965
Jared Goldberg,934643,17-06-1991
Manuel Carrozza,290799,1980
Sacha Gros,530113,1974
Roland Pfeifer,-10802, 
Benjamin Ritchie,6532592,05-09-2000
Federico Paini,6291536,09-03-1995
Christopher Beckmann,534698,1986
Thibault Garnier,191755,1981
Manfred Kleinlercher,50358,1971
Didier Defago,510727,02-10-1977
Jeffrey Read,104468,01-10-1997
Lars Goeran Halvarsson,-10532,1961
Ross Peraudo,40594,1992
Joery Rooij Van,400163,1986
Aane Saeter,420196,1975
Ronald Duncan,220014,1962
Max Ancenay,190376,1970
Chiaki Ishioka,-10145, 
Manuel Pescollderungg,292280,1981
Luke Deane,40271,1982
Ed Podivinsky,100465,1970
Christof Innerhofer,293006,17-12-1984
Adam Zika,150834,16-08-1989
Kyle Negomir,6532123,03-10-1998
Luc Genolet,-10556, 
Aljaz Dvornik,561313,07-08-1995
Alec Scott,40612,20-01-1997
Andreas Ertl,200056,1975
Arnold Senoner,-10066, 
Elie Gateau,6190074,1995
Vincent Gaspoz,511776,1991
Ian Piccard,190270,1968
Jakub Kucera,150646,1986
Tetsuya Otaki,300389,1978
Marko Sljivic,710353,12-05-1996
Michael Veith,-10639, 
Jeff Hume,101850,1979
Michael Ross,101590,1978
Ivica Kostelic,380260,1979
Nikola Chongarov,92534,1989
Yasuhiro Ikuta,300466,1979
Marco Tonazzi,-10579, 
Kevin Wert,100504,1975
David Zwilling,-10204,1949
Warren Cummings Smith,390035,1992
Silvan Zurbriggen,510890,15-08-1981
Ken Read,-10506,1955
Roland Leitinger,54031,13-05-1991
Uros Pavlovcic,560050,1972
Ioannis Antoniou,230651,27-01-1995
Sam Robertson,40506,1993
Henri Battilani,6291029,27-02-1994
Xavier Gigandet,510086,1966
Christian Gaidet,190151,1963
Peter Schwendener,-10747, 
Marco Hangl,510106,1967
Vladimir Andreev,-10926, 
John Mealey,100192,1968
Simon Breitfuss Kammerlander,54106,29-11-1992
Charles Christianson,534507,1984
Benedikt Staubitzer,202265,05-12-1990
Andrej Filischkin,480031,1975
Ivan Kovbasnyuk,690694,18-05-1993
Paul Mahre,-10725, 
Benjamin Raich,50625,28-02-1978
Matej Jovan,560113,1970
Jan Zabystran,151238,26-01-1998
Bart Mollin,60015,1981
Matjaz Vrhovnik,560056,1972
Werner Perathoner,290398,1967
Florian Szwebel,6531726,04-09-1996
Henrik Kristoffersen,422304,02-07-1994
Tim Cafe,410270,1987
Josef Ferstl,202059,29-12-1988
Kenneth Sivertsen,420681,1973
Attilio Barcella,290034,1966
Are Torpe,420670,1973
Gauthier De Tessieres,191746,1981
Patrick Ortlieb,50144,1967
Thomas Graggaber,50831,1981
Hubertus von Hohenlohe,540001,02-02-1959
Matteo De Vettori,6290540,1993
Rainer Schoenfelder,50547,1977
Chip Knight,531557,1975
Alex Antor,20081,1979
River Radamus,6532084,12-02-1998
Freddy Rech,191667,1980
Timon Haugan,422507,27-12-1996
Achim Vogt,350031,1970
Sandro Viletta,511352,23-01-1986
Nolan Kasper,532138,1989
Arjan Wanders,400016,1978
Dalibor Samsal,380290,1985
Mattias Roenngren,501898,22-11-1993
Fernando Schmed,511808,1991
Stefan Brennsteiner,54027,03-10-1991
Daisuke Yoshioka,301184,06-01-1980
Ford Swette,104026,1993
Daniel Defago,510278,1980
Marco Casanova,510638,1976
Marc Berthod,510997,24-11-1983
Patrick Holzer,290705,1970
Matthieu Bailet,6190176,23-04-1996
Adrian Smiseth Sejersted,422310,16-07-1994
Johnny Albertsen,170050,1977
Michal Kalwa,430194,1978
Tahir Bisic,710240,1981
Akira Sasaki,301312,1981
Walter Gugele,-10929, 
Ryan Cochran-Siegle,6530319,27-03-1992
Stefan Jon Sigurgeirsson,250267,1989
Diego Amplatz,-10212, 
Werner Mattle,-10939,1949
Seppi Stiegler,530651,1988
Fabio Renz,202469,1992
Tobias Hedstroem,502298,03-12-1998
Alain Baxter,220044,1973
Jonathan Nordbotten,421860,14-07-1989
Ales Brezavsek,560013,1972
Richard Leitgeb,54233,19-05-1994
Henrik Jarvikare,180848,28-03-1999
Jesper Riis-Johannessen,421868,1989
Zan Groselj,561291,05-10-1993
Tonis Luik,390037,1995
Ami Oreiller,511405,1987
Bradley Wall,40221,1979
Jeremy Nobis,530548,1970
Oscar Andersson,500909,1982
Massimiliano Valcareggi,230659,1995
Simone Vicquery,290511,1975
Lukas Perathoner,290397,1968
Cary Adgate,-10133, 
Alexander Prast,6292181,07-07-1996
Adam Cole,533948,1982
Tomaz Sovic,561199,1990
Simon Rueland,54447,15-05-1997
Fritz Strobl,50182,1972
Jean Louis Ambroise,-10432, 
Michael Weyermann,510321,1980
Jacopo Di Ronco,990128,17-01-1990
Beat Feuz,511383,11-02-1987
Ralph Weber,511981,31-05-1993
Brenton Fetterplace,40324,1985
Daniele Sorio,6291028,08-04-1994
Olivier Jenot,370022,28-02-1988
Colby Granstrom,930105,1990
Marc Kuehni,510663,1976
Jean-Baptiste Grange,192665,10-10-1984
Michel Lucatelli,190214,1967
Andrew Weibrecht,530939,1986
Juergen Hasler,350041,1973
Nils Mani,511847,23-05-1992
Dominik Raschner,54252,23-08-1994
Manabu Sawaguchi,-10570, 
Jakub Fiala,530137,1975
Paul De La Cuesta,491151,1988
Loic Meillard,512182,29-10-1996
Adam Zampa,700830,13-09-1990
Werner Heel,292514,23-03-1982
Patrick Trocker,291006,1980
Tatsuki Matsumoto,304801,12-01-1996
Olivier Brand,510307,1980
Lucas Falcoz,193215,1986
Mads Moerch,420304,1969
Greg Jones,-10332,1953
Ivano Edalini,-10407,1961
Matija Zavirsek,561046,1984
Konrad Bartelski,-10516, 
Renato Antonioli,-10775, 
Maxime Tissot,193347,1986
Antoine Tissot,191618,1980
Matic Skube,561148,1988
Hans Knauss,50360,1971
Bjoern Sieber,53853, 
Hans Zingre,-10353, 
Deyvid Oprja,390018,1982
Felix Monsen,501987,06-11-1994
Iver Bjerkestrand,421650,1987
Espen Hellerud,420204,1971
Frederik Van Buynder,60159,1988
Davide Cazzaniga,6290393,06-06-1992
Franz Teppan,50318,1970
Malcolm Milne,-10568,1948
AJ Bear,40170,1977
Borek Zakouril,150149,1976
Claudio Collenberg,510765,1977
Eric Wilson,-10249, 
Bernard Orcel,-10084,1945
Filip Rzepecki,430560,1992
Kurt Gubser,-10522, 
Dietmar Koehlbichler,50113,1963
Siegfried Voglreiter,50230,1969
Tobias Hellman,500253,1973
Alexis Pinturault,194364,20-03-1991
Elias Kolega,380363,23-05-1996
Leo Anguenot,6190628,25-08-1998
Nick Daniels,934518,1991
Heinz Peter Platter,290419,1967
Justin Murisier,511896,08-01-1992
John Clough,-10451, 
Andrej Miklavc,560115,1970
Wilfried Muxel,-10941, 
Sebastien Missillier,191159,1977
Roland Thoeni,-10804,1951
Bertold Szepesi,240122,20-03-1990
Patrick Wirth,50393,1971
Josef Loidl,-10462, 
Christian Prassberger,200987,1977
Jesse Marshall,533142,1980
Christophe Saioni,190314,1969
Giancarlo Bergamelli,290023,1974
Mathias Haas,50254,1966
Johannes Stehle,201439,1981
Tilen Debelak,561214,31-05-1991
Alexej Maslov,480035,1966
Peter Roth,200271,1961
Peter Strodl,201542,1982
Gustav Lundbaeck,501873,27-03-1993
Christian Hemmi,-10153, 
Benjamin Melquiond,190462,1975
Michal Rajcan,700034,1980
Ondrej Bank,150398,1980
Hubert Berchtold,-10383,1950
Beni Hofer,510165,1978
Jake Zamansky,533397,1981
Bernhard Niederberger,512014,1993
Reggie Crist,530084,1968
Ivan Ratkic,380291,1986
Espen Lysdahl,421954,1990
Masaharu Ajiki,300441,1980
Manfred Grabler,-10572, 
Giulio Zuccarini,6292556,10-02-1997
Gustav Thoeni,-10341,1951
Johannes Kroell,53981,27-03-1991
Marco Buechel,350032,1971
Samy Blanc,193672,1988
Juerg Gruenenfelder,510051,1974
Finlay Mickel,220228,1977
Attila Bonis,240029,1971
Sandro Boner,511504,1988
Kyle Wieche,-10526, 
Anthony Bonvin,512063,14-07-1994
Bernhard Matti,510434,1981
Maciej Bydlinski,430429,1988
Rogier Oosterbaan,400015,1978
Helmut Hoeflehner,50091,1959
Scott Hume,102434,1982
Franck Pons,-10282, 
Fabian Bacher,6290886,04-04-1993
Dominik Stehle,201896,15-10-1986
Gerhard Speiser,200246,1975
Jason Rosener,530391,1975
Marc Bottollier,191415,1979
Henri Duvillard,-10374,1947
Hermann Maier,50423,1972
William Besse,510029,1968
Albin Tahiri,942023,15-02-1989
Boris Strel,-10106,1959
Norbert Holzknecht,50482,1976
Siegmar Klotz,294277,1987
Jon Terje Overland,-10455, 
Miro Oberstar,-10661, 
Antoine Deneriaz,190930,1976
Tin Siroki,380298,1987
Paulo Oppliger,110166,1971
Tyler Palmer,-10907,1950
Kiminobu Kimura,300263,1970
Miha Kuerner,561117,1987
Josef Pechtl,-10464, 
Atle Lie McGrath,422732,21-04-2000
Bob Styan,-10102, 
David Ketterer,202485,22-06-1993
Carlo Gerosa,290254,1964
Todd Brooker,-10892,1959
Truls Johansen,421849,1989
Lars Roesti,512281,19-01-1998
Sergeij Komarov,480670,1983
Finn Chr. Jagge,420102,1966
Mauro Bernardi,-10630, 
Stanley Hayer,104344,1973
Anton Lahdenperae,501116,1985
Pavel Trikhichev,481327,07-11-1992
Rainer Salzgeber,50171,1967
Krystof Kryzl,150644,12-10-1986
Mitja Kunc,560154,1971
Niklas Lindqvist,-10690,1964
Michael Lichtenegger,50368,1971
Gunnar Neuriesser,-10339, 
Even Hole,-10264, 
Craig Thrasher,530591,1970
Andraz Pogladic,561278,1993
Tyler Nella,103375,1988
Graydon Oldfield,100744,1973
Justin J Johnson,532173,1977
Georgi Georgiev,90131,1987
Robert Erlacher,-10794,1963
Philipp Schoerghofer,51007,20-01-1983
Scott Henderson,-10835, 
Stefan Sodat,-10865, 
Ivo Mahlknecht,-10409, 
Anders Andersson,500163,1978
Richard Pramotton,290435,1964
Hans Vaccari,6291911,30-07-1996
Reinhard Tritscher,-10772,1946
David Pretot,190280,1969
Edoardo Zardini,291469,1976
Danilo Sbardellotto,290485,1960
Claude Cretier,191115,1977
Hamit Sare,520063,1982
Alessandro Fattori,291116,1973
Jakub Ilewicz,430387,1987
Noel Von Gruenigen,512120,17-04-1995
Jostein Haugen,420261,1969
Guido Hinterseer,-10336, 
Michael von Gruenigen,510318,1969
Gregor Sparovec,560302,1977
Danko Marinelli,380296,1987
Massimo Zucchelli,291019,1972
Brad Hogan,532847,1979
Ron Biedermann,-10809, 
Mitja Dragsic,560371,1979
Gareth Sine,102947,1985
Greg Hann,-10331, 
Takuya Ishioka,300281,1971
Todd Haywood,410130,1977
Kieffer Christianson,6530115,1992
Sam Maes,60261,07-06-1998
Stefan Pistor,200236,1962
Jukka Leino,180292,1978
Florian Seer,50473,1976
Anton Dorner,-10062, 
Joakim Wallner,500337,1962
Mark Bridgwater,410252,1985
Andrej Prevuznak,700012,1978
Kurt Pittschieler,293079,1984
Truls Ove Karlsen,420148,1975
Andreas Schifferer,50124,1974
Raphael Faessler,511224,1985
Christoph Alster,50761,1980
Maarten Meiners,400237,08-02-1992
Bryon Friedman,533098,1980
Thomas Koenig,53898,1990
Konstantin Chistiakov,480477, 
Michael Matt,54170,13-05-1993
Adrien Theaux,192746,18-09-1984
Yoan Todorov,92721,09-07-1997
Max Ullrich,380341,15-04-1994
Masami Ichimura,-10623, 
Pierre Emmanuel Dalcin,191116,1977
Jules Melquiond,-10472, 
Urs Kryenbuehl,512042,28-01-1994
Luc Alphand,190010,1965
Jeroen Van Den Bogaert,60088,16-03-1979
Marko Vukicevic,310426,27-10-1992
Mario Scheiber,51005,1983
Matej Prielozny,700929,28-09-1997
Will Brandenburg,530165,1987
Felix Neureuther,201702,26-03-1984
Kristaps Zvejnieks,550054,1992
Hans Peter Rohr,512168, 
Audun Groenvold,420830,1976
Roland Fischnaller,291389,1975
Roberts Rode,550022,1987
Adam Kotzmann,151024,08-04-1993
Arnaud Alessandria,370031,15-07-1993
Guy Perillat,-10342,1940
Roberto Burini,-10793, 
Carlo Demetz,-10126, 
Laurent Caiolo,190615,1978
